code,current_losses,current_ties,current_wins,d_rating,goal_diff,group,group_1,group_2,group_3,group_4,id,losses,make_final,make_quarters,make_second_round,make_semis,name,o_rating,sdr_id,ties,win_final,wins,win_league,make_round_of_16,last_updated
ARS,0.0,2.0,4.0,1.04171,12.0,A,1.0,0.0,0.0,0.0,359,0.0,0.0,0.0,1.0,0.0,Arsenal,2.24459,73616,2.0,0.0,4.0,0.0,1.0,2017-05-07 16:54
POR,1.0,2.0,3.0,0.92545,6.0,G,0.0,1.0,0.0,0.0,437,1.0,0.0,0.0,1.0,0.0,FC Porto,1.80947,74329,2.0,0.0,3.0,0.0,1.0,2017-05-07 16:54
TOT,3.0,1.0,2.0,0.66718,0.0,E,0.0,0.0,1.0,0.0,367,3.0,0.0,0.0,0.0,0.0,Tottenham Hotspur,2.18905,73602,1.0,0.0,2.0,0.0,0.0,2017-05-07 16:54
SEV,1.0,2.0,3.0,1.0106,4.0,H,0.0,1.0,0.0,0.0,243,1.0,0.0,0.0,1.0,0.0,Sevilla FC,1.85791,93401,2.0,0.0,3.0,0.0,1.0,2017-05-07 16:54
BES,1.0,4.0,1.0,1.50455,-5.0,B,0.0,0.0,1.0,0.0,1895,1.0,0.0,0.0,0.0,0.0,Besiktas,1.75653,74202,4.0,0.0,1.0,0.0,0.0,2017-05-07 16:54
PSV,4.0,2.0,0.0,1.17512,-7.0,D,0.0,0.0,0.0,1.0,148,4.0,0.0,0.0,0.0,0.0,PSV,1.85881,93373,2.0,0.0,0.0,0.0,0.0,2017-05-07 16:54
ROS,3.0,2.0,1.0,1.4208,-6.0,D,0.0,0.0,1.0,0.0,3852,3.0,0.0,0.0,0.0,0.0,Rostov,1.39696,74350,2.0,0.0,1.0,0.0,0.0,2017-05-01 20:51
LYON,2.0,2.0,2.0,1.10682,2.0,H,0.0,0.0,1.0,0.0,167,2.0,0.0,0.0,0.0,0.0,Lyon,2.07536,74432,2.0,0.0,2.0,0.0,0.0,2017-05-01 20:51
MAD,0.0,3.0,3.0,0.96845,6.0,F,0.0,1.0,0.0,0.0,86,0.0,0.63334,1.0,1.0,1.0,Real Madrid,3.26968,74013,3.0,0.36306,3.0,0.36306,1.0,2017-05-01 20:51
CBKV,6.0,0.0,0.0,1.51857,-12.0,G,0.0,0.0,0.0,1.0,570,6.0,0.0,0.0,0.0,0.0,Club Brugge,1.02543,72883,0.0,0.0,0.0,0.0,0.0,2017-05-01 20:51
